shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;2X ₡1990 Deli Dog Clásico;Available;1990;CRC;El Papá De Los Perros;1;1;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/5fe5b088-b1f0-4a30-be3a-2ce818d1a118.png;undefined
Delimart - Guachipelin 🛒;Combo Personal Hot Dog Clásico+ Nachos Chili y Queso + Pepsi 600 ml;Available;3990;CRC;El Papá De Los Perros;2;2;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/62c073b9-b33f-4e52-9d9f-60a5bedc07de.png;undefined
Delimart - Guachipelin 🛒;Pack Familiar: 6 Deli Dogs+1 Deli Nachos + 1 Pepsi 2.5 lt;Sold out;10990;CRC;El Papá De Los Perros;3;3;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/b6f7adc7-0008-4b2e-bd0c-587469dcd7ba.png;Sold out
Delimart - Guachipelin 🛒;2X ₡2800 Tropical 2.5 lt;Available;2800;CRC;Super Promos;1;4;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2a2fced9-11ad-4d9f-afa6-7419831aad91.png;undefined
Delimart - Guachipelin 🛒;2X ₡2000 Pepsi Regular 2.5 lt;Sold out;2000;CRC;Super Promos;2;5;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a5552e43-d2c1-40f8-a46e-b0dd6697433f.png;Sold out
Delimart - Guachipelin 🛒;2X 2000 Tropical Frutas 2L;Available;2000;CRC;Super Promos;3;6;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/7e8d218e-7a13-4dde-a9a8-e5421da51044.png;undefined
Delimart - Guachipelin 🛒;2X Gatorade Naranja 1 lt;Sold out;2400;CRC;Super Promos;4;7;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/20ffd28e-bdf9-44dd-90cc-68f95aa31e0d.png;Sold out
Delimart - Guachipelin 🛒;3X Gatorade Blue Berry;Available;2865;CRC;Super Promos;5;8;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/9a469e26-8684-4ce3-a32c-a0b873bee79b.png;undefined
Delimart - Guachipelin 🛒;3X Agua Cristal 600 ml;Available;1500;CRC;Super Promos;6;9;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/50b2bc3b-09e4-4139-b00e-b11cf6c2bc49.png;undefined
Delimart - Guachipelin 🛒;3X2 Pinguinos 80 gr;Available;1350;CRC;Super Promos;7;10;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/ac45d24c-4203-49db-8484-2e3ec6db69fa.png;undefined
Delimart - Guachipelin 🛒;3X2 Takis 90 gr;Available;1650;CRC;Super Promos;8;11;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2382f394-ce2f-4f2b-9c4a-27a21454b36f.png;undefined
Delimart - Guachipelin 🛒;3X2 Jet Lata;Sold out;1350;CRC;Super Promos;9;12;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/e4629c3a-da80-46d1-9e40-4743f37bc7db.png;Sold out
Delimart - Guachipelin 🛒;3X2 Tapita 102 gr;Available;2600;CRC;Super Promos;10;13;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/d734d547-be0a-4468-93e4-acfdb2770158.png;undefined
Delimart - Guachipelin 🛒;3X2 Gallito Corazoncito Leche 9 Ud;Sold out;1300;CRC;Super Promos;11;14;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2fdd5b62-88e1-483f-a1e6-36e9e96e40c3.png;Sold out
Delimart - Guachipelin 🛒;6X5 Paletas y Conos;Available;4375;CRC;Super Promos;12;15;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a40011b8-56d1-4fb5-a842-48f5db247def.png;undefined
Delimart - Guachipelin 🛒;2X1 Barcel Chip´S Fuego Limón 100 gr;Sold out;1650;CRC;Super Promos;13;16;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);undefined;Sold out
Delimart - Guachipelin 🛒;2X1 Barcel Chip´S Jalapeño 100 gr;Available;1650;CRC;Super Promos;14;17;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);undefined;undefined
Delimart - Guachipelin 🛒;2X1 Barcel Chip´S Sal De Mar 100 gr;Available;1650;CRC;Super Promos;15;18;Tue Sep 01 2020 15:40:14 GMT-0700 (Mountain Standard Time);undefined;undefined
