shop;product;description;status;price;currency;category;position;absolutePosition;date;image
McDonald's Escazú;Ataque de Dulce;2 Shakes (Fresa, Vainilla, Chocolate, Mora, Maracuya) y 2 McFlurry Oreo;Disponible;5000;₡;Nuevas Promos 🍔🍔;1;1;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a7ac7c9f-8b1c-4f93-b68b-0f0dcb23cdac.jpeg
McDonald's Escazú;En modo teletrabajo (opción Pastel Manzana);Triple con Queso, Papas Med y Bebida 16oz + Pastel Manzana;Disponible;3540;₡;Nuevas Promos 🍔🍔;2;2;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/aaedd0d3-d2ea-4f84-b71f-f3ea09a700a8.jpeg
McDonald's Escazú;En modo teletrabajo (opción Pastel Piña);Triple con Queso, Papas Med y Bebida 16oz + Pastel Piña;Disponible;3540;₡;Nuevas Promos 🍔🍔;3;3;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/94b5b973-5f07-440a-be20-a85752c167ab.jpeg
McDonald's Escazú;Clases Virtuales con MC (opción Hamb con Queso);10 McNuggets, 1 Hamb con Queso y 1 Papas Med;Disponible;3100;₡;Nuevas Promos 🍔🍔;4;4;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/b2a4e59f-aec1-4df7-a76f-8544126e57d2.jpeg
McDonald's Escazú;Clases Virtuales con MC (opción McPollor Jr);10 McNuggets, 1 McPollor Jr y 1 Papas Med;Disponible;3100;₡;Nuevas Promos 🍔🍔;5;5;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/b266e565-c5e2-4874-9e47-e5e90911d03e.jpeg
McDonald's Escazú;Pollo Lovers (8 Pz Pollo y 4 Papas Med);8 Pz Pollo y 4 Papas Med;Disponible;8250;₡;Nuevas Promos 🍔🍔;6;6;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/93eaf37a-104d-4009-9de7-18306acad2e9.jpeg
McDonald's Escazú;Pollo Lovers (4 Pz Pollo, 10 Nuggets y 2 Papas Gd);4 Pz Pollo, 10 Nuggets y 2 Papas Gd;Disponible;6350;₡;Nuevas Promos 🍔🍔;7;7;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a27278ee-5f37-429e-bda1-a5f5ddcc8efd.jpeg
McDonald's Escazú;1 Shake + Papas Medianas 26% descuento;undefined;Disponible;2000;₡;Día de Bronceado 🕶️🌞;1;8;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/09e0112b-6c32-4eaa-a94e-90071bbb570f.jpeg
McDonald's Escazú;10 McNuggets + 2 Hamburguesa con Queso + 2 McPolloJr + 3 Mcpapas Pequeñas 13% descuento;undefined;Disponible;6550;₡;Noche de Peliculas 📹🍿;1;9;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/bc72614e-6a8d-48ba-b846-a3781990a62e.jpeg
McDonald's Escazú;Caja Grande con Refresco.;undefined;Disponible;12950;₡;No quiero cocinar 😁😁;1;10;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/78859b1c-e3cd-40a2-af4d-c2e2c2b73492.jpeg
McDonald's Escazú;Caja Grande con Refresco.;undefined;Disponible;12950;₡;Paquetes Familiares;1;11;Tue Sep 01 2020 15:49:21 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/78859b1c-e3cd-40a2-af4d-c2e2c2b73492.jpeg
