shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;2X ₡1990 Deli Dog Clásico;Available;1990;CRC;El Papá de Los Perros;1;1;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/5fe5b088-b1f0-4a30-be3a-2ce818d1a118.png;undefined
Delimart - Guachipelin 🛒;Combo Personal Hot Dog Clásico+ Nachos Chili y Queso + Pepsi 600 ml;Available;3990;CRC;El Papá de Los Perros;2;2;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/dbb551b4-9e3a-408e-91fd-2b354d1d8745.png;undefined
Delimart - Guachipelin 🛒;Pack Familiar: 6 Deli Dogs+1 Deli Nachos + 1 Pepsi 2.5 lt;Sold out;10990;CRC;El Papá de Los Perros;3;3;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/b6f7adc7-0008-4b2e-bd0c-587469dcd7ba.png;Sold out
Delimart - Guachipelin 🛒;2X ₡2000 Pepsi Regular 2.5 lt;Sold out;2000;CRC;Super Promos;1;4;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/0c95bd0b-3587-4881-852e-06252b8d5658.png;Sold out
Delimart - Guachipelin 🛒;2X Gatorade Naranja 1Lt;Sold out;2400;CRC;Super Promos;2;5;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/20ffd28e-bdf9-44dd-90cc-68f95aa31e0d.png;Sold out
Delimart - Guachipelin 🛒;3X Gatorade Blue Berry;Available;2865;CRC;Super Promos;3;6;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/9a469e26-8684-4ce3-a32c-a0b873bee79b.png;undefined
Delimart - Guachipelin 🛒;3X2 Pinguinos 80 gr;Available;1350;CRC;Super Promos;4;7;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/ac45d24c-4203-49db-8484-2e3ec6db69fa.png;undefined
Delimart - Guachipelin 🛒;3X2 Takis 90 gr;Available;1650;CRC;Super Promos;5;8;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2382f394-ce2f-4f2b-9c4a-27a21454b36f.png;undefined
Delimart - Guachipelin 🛒;3X2 Tapita 102 gr;Available;2600;CRC;Super Promos;6;9;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/d734d547-be0a-4468-93e4-acfdb2770158.png;undefined
Delimart - Guachipelin 🛒;3X2 Gallito Corazoncito Leche 9 Ud;Sold out;1300;CRC;Super Promos;7;10;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/2fdd5b62-88e1-483f-a1e6-36e9e96e40c3.png;Sold out
Delimart - Guachipelin 🛒;6X5 Paletas y Conos;Available;4375;CRC;Super Promos;8;11;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a40011b8-56d1-4fb5-a842-48f5db247def.png;undefined
Delimart - Guachipelin 🛒;2X1 Powerade Coco;Available;1000;CRC;Super Promos;9;12;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/0aa43d28-0948-45e4-9394-5d374bdb4634.png;undefined
Delimart - Guachipelin 🛒;Precio Especial Agua Cristal 600 ml;Available;500;CRC;Super Promos;10;13;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/227c9096-21d2-443d-a08c-250e1a98faea.png;undefined
Delimart - Guachipelin 🛒;Precio Especial Jet Lata 355 ml;Sold out;500;CRC;Super Promos;11;14;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/746cb446-1575-4d66-934f-3fd17b1245ad.png;Sold out
Delimart - Guachipelin 🛒;Combo Jet Lata + Tutto Chocolate 20 gr;Sold out;850;CRC;Super Promos;12;15;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/688736cc-44bc-4d4b-8f81-cd30053955dc.png;Sold out
Delimart - Guachipelin 🛒;Precio Especial Té Dos Pinos 3 lt;Sold out;1000;CRC;Super Promos;13;16;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/14e789c3-2a8b-4ee0-9c65-dc48a9dab3cc.png;Sold out
Delimart - Guachipelin 🛒;Precio Especial 7 Up 2.5Lt;Sold out;1200;CRC;Super Promos;14;17;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/81dc0a9b-a30d-4795-946c-e76c6a1fac0d.png;Sold out
Delimart - Guachipelin 🛒;Precio Especial Tropical 2.5 lt;Available;1400;CRC;Super Promos;15;18;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/db566b50-d0bb-4569-90e2-0e90b9f6e9c6.png;undefined
Delimart - Guachipelin 🛒;Mini Sandwich 8 Ud Precio Especial;Available;3060;CRC;Super Promos;16;19;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/bac2c242-3ceb-490a-85a0-242b54a5e892.png;undefined
Delimart - Guachipelin 🛒;Coca-Cola 600Ml + Pro Yuca Ranchera 50 gr;Available;1275;CRC;Super Promos;17;20;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/42f18cf9-23c8-4bb9-8f8a-d7d70573c1ff.png;undefined
Delimart - Guachipelin 🛒;Coca-Cola 600Ml + Pro Platano Limón 85 gr;Available;1500;CRC;Super Promos;18;21;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/8e33fa50-8cea-447f-b8a4-332299728505.png;undefined
